guide_id,gene,control_r1,control_r2,control_r3,treated_r1,treated_r2,treated_r3
SIMG0097_sg3,SIMG0097,7018,6913,4738,7307,5132,4718
SIMG0097_sg4,SIMG0097,6432,5747,4034,6554,5190,3994
SIMG0098_sg1,SIMG0098,2974,3177,1806,2249,2053,2488
SIMG0098_sg2,SIMG0098,5567,4451,4643,5984,4855,3313
SIMG0098_sg3,SIMG0098,3895,3315,3425,3725,3324,2724
SIMG0098_sg4,SIMG0098,5832,6537,5221,7822,6247,3726
SIMG0099_sg1,SIMG0099,2509,4117,4114,4527,3482,2368
SIMG0099_sg2,SIMG0099,4376,3670,3299,4176,3589,2619
SIMG0099_sg3,SIMG0099,2834,3111,2276,2176,3447,1534
SIMG0099_sg4,SIMG0099,1974,2296,2209,3470,2866,2216
SIMG0100_sg1,SIMG0100,8812,9276,9238,5803,10163,8157
SIMG0100_sg2,SIMG0100,3496,3382,3620,3045,3939,2108
SIMG0100_sg3,SIMG0100,5529,4929,4203,5592,5691,3083
SIMG0100_sg4,SIMG0100,6889,6521,6695,6918,7446,5477
SIMG0101_sg1,SIMG0101,4490,4581,4093,4681,3897,2919
SIMG0101_sg2,SIMG0101,4056,5026,4010,5857,5294,4056
SIMG0101_sg3,SIMG0101,12633,10156,8429,10780,10511,8495
SIMG0101_sg4,SIMG0101,2906,2467,2360,2564,2727,1937
SIMG0102_sg1,SIMG0102,2957,3323,2330,2582,3176,3514
SIMG0102_sg2,SIMG0102,5296,5911,4933,5084,5712,5013
SIMG0102_sg3,SIMG0102,3442,3408,4218,4279,3644,2352
SIMG0102_sg4,SIMG0102,6584,4962,5340,6308,7155,4971
SIMG0103_sg1,SIMG0103,4669,3743,7390,5949,6008,3636
SIMG0103_sg2,SIMG0103,3687,4932,3634,5852,4118,3729
SIMG0103_sg3,SIMG0103,2434,2466,2801,2496,2216,3435
SIMG0103_sg4,SIMG0103,8562,7686,7551,4191,6340,4796
SIMG0104_sg1,SIMG0104,4263,3781,3707,3113,4135,2892
SIMG0104_sg2,SIMG0104,6955,7160,7501,8074,5186,4501
SIMG0104_sg3,SIMG0104,3273,3071,3138,3424,2981,1855
SIMG0104_sg4,SIMG0104,4033,3483,3633,4070,3792,2773
SIMG0105_sg1,SIMG0105,9209,9442,12984,10936,9683,7044
SIMG0105_sg2,SIMG0105,5785,5202,3718,5082,4288,4104
SIMG0105_sg3,SIMG0105,6242,3965,5947,5704,5464,4784
SIMG0105_sg4,SIMG0105,4514,5182,6052,4404,4430,2846
SIMG0106_sg1,SIMG0106,6359,6600,5291,5530,8092,5279
SIMG0106_sg2,SIMG0106,3653,3969,3402,4521,3658,3195
SIMG0106_sg3,SIMG0106,11983,10895,9936,12852,9623,6852
SIMG0106_sg4,SIMG0106,6054,5516,5439,5782,5699,5727
SIMG0107_sg1,SIMG0107,3192,3688,3693,4431,4365,3372
SIMG0107_sg2,SIMG0107,3100,5368,3207,3692,3447,2635
SIMG0107_sg3,SIMG0107,6779,7948,6954,8054,6257,5332
SIMG0107_sg4,SIMG0107,2664,2904,3172,3504,2266,1936
SIMG0108_sg1,SIMG0108,5590,6094,4880,5354,5227,5228
SIMG0108_sg2,SIMG0108,7387,5630,6381,6779,6461,4358
SIMG0108_sg3,SIMG0108,3968,2910,2285,4123,3696,3201
SIMG0108_sg4,SIMG0108,4419,4980,4050,7431,4938,6100
SIMG0109_sg1,SIMG0109,10276,7121,9204,6380,5480,6203
SIMG0109_sg2,SIMG0109,4168,4657,6138,5173,6474,3693
SIMG0109_sg3,SIMG0109,5966,6390,7043,6116,6583,4292
SIMG0109_sg4,SIMG0109,2309,2415,2453,3062,2178,2545
SIMG0110_sg1,SIMG0110,5726,5339,4166,5180,3800,4205
SIMG0110_sg2,SIMG0110,6070,10923,5979,6179,7267,4372
SIMG0110_sg3,SIMG0110,5081,6335,5951,7209,7178,4456
SIMG0110_sg4,SIMG0110,5453,6182,5118,5356,4926,5294
SIMG0111_sg1,SIMG0111,4582,5855,6043,5663,6016,4104
SIMG0111_sg2,SIMG0111,7925,8660,7414,9176,6395,4611
SIMG0111_sg3,SIMG0111,2443,3180,2764,3131,1879,2140
SIMG0111_sg4,SIMG0111,5961,5963,3807,6688,6870,4214
SIMG0112_sg1,SIMG0112,5359,7250,6061,7232,6183,5036
SIMG0112_sg2,SIMG0112,3981,2294,3101,3684,3313,1876
SIMG0112_sg3,SIMG0112,4075,6527,5322,6570,4225,4803
SIMG0112_sg4,SIMG0112,5515,6133,3851,6715,4671,3819
SIMG0113_sg1,SIMG0113,5405,6428,6449,7036,5777,4373
SIMG0113_sg2,SIMG0113,2590,3237,2019,2532,2369,1322
SIMG0113_sg3,SIMG0113,5357,3491,3688,6456,6024,4296
SIMG0113_sg4,SIMG0113,4235,4443,3339,3823,3532,3701
SIMG0114_sg1,SIMG0114,3575,3345,3467,3178,2718,4236
SIMG0114_sg2,SIMG0114,7659,9337,5122,7766,6673,6127
SIMG0114_sg3,SIMG0114,2945,2552,3301,2260,3018,2485
SIMG0114_sg4,SIMG0114,9092,9750,6747,9003,11006,6462
SIMG0115_sg1,SIMG0115,5693,5806,6932,4302,5022,4329
SIMG0115_sg2,SIMG0115,4874,6054,3253,4512,3513,3368
SIMG0115_sg3,SIMG0115,4384,3289,3958,3866,3811,4905
SIMG0115_sg4,SIMG0115,5072,5382,5530,5044,4091,4750
SIMG0116_sg1,SIMG0116,6449,6528,4929,4080,5976,3126
SIMG0116_sg2,SIMG0116,5213,5784,6097,6509,4998,4424
SIMG0116_sg3,SIMG0116,2782,3787,2912,4111,3385,1823
SIMG0116_sg4,SIMG0116,3026,2861,2609,3003,2802,2134
SIMG0117_sg1,SIMG0117,5855,7292,5778,4874,3846,3247
SIMG0117_sg2,SIMG0117,3330,4148,3514,5435,5828,3317
SIMG0117_sg3,SIMG0117,3305,3116,3024,5468,4127,2350
SIMG0117_sg4,SIMG0117,4495,3319,2911,4191,3694,2930
SIMG0118_sg1,SIMG0118,5200,5922,5036,4725,4269,4009
SIMG0118_sg2,SIMG0118,6430,4406,4680,5556,4338,4314
SIMG0118_sg3,SIMG0118,4458,4721,3162,6618,4421,3982
SIMG0118_sg4,SIMG0118,7155,9046,6624,8189,6844,5422
SIMG0119_sg1,SIMG0119,4634,2782,3344,3428,3823,3569
SIMG0119_sg2,SIMG0119,2727,3002,2311,3967,4466,2963
SIMG0119_sg3,SIMG0119,3315,3301,2213,2220,2682,1785
SIMG0119_sg4,SIMG0119,4471,4749,4488,4764,4810,3384
SIMG0120_sg1,SIMG0120,4909,6356,5784,4422,5227,3200
SIMG0120_sg2,SIMG0120,4314,4634,6573,5631,3190,3906
SIMG0120_sg3,SIMG0120,9376,9635,6400,10862,9297,9245
SIMG0120_sg4,SIMG0120,2260,2284,1726,2046,2685,2520
SIMG0121_sg1,SIMG0121,4443,2616,2546,1105,1435,769
SIMG0121_sg2,SIMG0121,3777,3396,3991,2767,1636,2430
SIMG0121_sg3,SIMG0121,5595,6445,6909,2804,2321,2528
SIMG0121_sg4,SIMG0121,4657,3423,4371,2385,1954,1662
SIMG0122_sg1,SIMG0122,5277,3443,7453,2158,2113,2869
SIMG0122_sg2,SIMG0122,5363,4201,4115,2745,3053,2998
SIMG0122_sg3,SIMG0122,5721,5228,4742,4098,2979,2204
SIMG0122_sg4,SIMG0122,3480,5131,2636,2377,2027,1877
SIMG0123_sg1,SIMG0123,9493,7858,6182,2500,3408,2829
SIMG0123_sg2,SIMG0123,7623,9245,6123,4604,4553,4929
SIMG0123_sg3,SIMG0123,8174,8467,5455,3693,3314,2324
SIMG0123_sg4,SIMG0123,6480,6716,6347,2905,2556,3143
SIMG0124_sg1,SIMG0124,10242,7551,7786,7343,7693,4767
SIMG0124_sg2,SIMG0124,5636,5406,5045,4685,3812,3794
SIMG0124_sg3,SIMG0124,3391,2838,3604,4453,2854,4348
SIMG0124_sg4,SIMG0124,6095,3887,3954,5769,3895,4370
SIMG0125_sg1,SIMG0125,3526,4183,2521,1700,1325,1638
SIMG0125_sg2,SIMG0125,7906,7066,4819,3607,1936,2518
SIMG0125_sg3,SIMG0125,8049,6458,5508,2062,2012,1176
SIMG0125_sg4,SIMG0125,6177,4822,5362,3157,2647,2205
SIMG0126_sg1,SIMG0126,6712,5995,5819,5119,5958,4887
SIMG0126_sg2,SIMG0126,4151,4613,3539,2576,3780,3995
SIMG0126_sg3,SIMG0126,2858,4341,3104,3606,3228,2616
SIMG0126_sg4,SIMG0126,4117,3050,2128,3470,4000,3198
SIMG0127_sg1,SIMG0127,8044,7196,6103,5952,6773,5074
SIMG0127_sg2,SIMG0127,3868,2695,2854,3674,3711,2383
SIMG0127_sg3,SIMG0127,5476,4611,5637,4141,4737,3577
SIMG0127_sg4,SIMG0127,5994,4071,4538,4366,5354,4836
SIMG0128_sg1,SIMG0128,3698,3202,4838,4193,3298,2687
SIMG0128_sg2,SIMG0128,4573,4184,3207,4301,4506,2614
SIMG0128_sg3,SIMG0128,5225,4490,5945,3945,4014,4351
SIMG0128_sg4,SIMG0128,2041,2904,2092,1986,3277,1197
SIMG0129_sg1,SIMG0129,3188,3630,4805,3184,2696,2275
SIMG0129_sg2,SIMG0129,4981,4787,4573,4657,6182,4065
SIMG0129_sg3,SIMG0129,3795,3991,4080,3143,3657,3502
SIMG0129_sg4,SIMG0129,7080,5494,6311,7351,6167,5821
SIMG0130_sg1,SIMG0130,5955,3900,6443,5026,5712,3934
SIMG0130_sg2,SIMG0130,6748,10028,4905,6156,6278,5621
SIMG0130_sg3,SIMG0130,8811,11066,10521,9118,10554,11256
SIMG0130_sg4,SIMG0130,6307,6419,5010,6735,5580,3816
SIMG0131_sg1,SIMG0131,7822,5972,5781,7357,5649,5529
SIMG0131_sg2,SIMG0131,3818,3291,3277,2761,3790,1986
SIMG0131_sg3,SIMG0131,5157,3581,3877,5314,3504,4178
SIMG0131_sg4,SIMG0131,5725,6589,5171,6553,4852,6003
SIMG0132_sg1,SIMG0132,2778,2833,3117,2541,2990,2362
SIMG0132_sg2,SIMG0132,4519,7288,7719,6356,5818,6464
SIMG0132_sg3,SIMG0132,2995,3957,4012,5158,2555,2184
SIMG0132_sg4,SIMG0132,4763,3716,3376,3840,3347,3483
SIMG0133_sg1,SIMG0133,5274,4631,4842,5886,6715,2719
SIMG0133_sg2,SIMG0133,7553,7748,5691,7001,6502,6135
SIMG0133_sg3,SIMG0133,5166,6539,4872,6090,4548,2839
SIMG0133_sg4,SIMG0133,2845,2643,2094,2121,2732,1827
SIMG0134_sg1,SIMG0134,5985,5837,6558,7122,4901,5164
SIMG0134_sg2,SIMG0134,5442,5189,4478,5648,6597,4944
SIMG0134_sg3,SIMG0134,5872,5949,7729,8064,8954,5947
SIMG0134_sg4,SIMG0134,5697,7272,5096,9267,6548,5110
SIMG0135_sg1,SIMG0135,6667,6752,6909,5384,6100,3973
SIMG0135_sg2,SIMG0135,11292,11551,10601,11972,7585,8363
SIMG0135_sg3,SIMG0135,9653,7393,7577,6696,5159,6823
SIMG0135_sg4,SIMG0135,2334,3297,2282,2851,2626,2499
SIMG0136_sg1,SIMG0136,4996,6451,5552,3315,4613,3832
SIMG0136_sg2,SIMG0136,2005,2275,2295,2241,2324,1585
SIMG0136_sg3,SIMG0136,5123,5172,4061,6365,5959,3010
SIMG0136_sg4,SIMG0136,5832,5054,4722,6120,9643,3904
SIMG0137_sg1,SIMG0137,10922,8549,10333,8850,11376,7367
SIMG0137_sg2,SIMG0137,3680,2903,3854,4101,4790,2770
SIMG0137_sg3,SIMG0137,5958,5020,3806,4084,4808,3627
SIMG0137_sg4,SIMG0137,6090,7233,5181,6010,5601,5348
SIMG0138_sg1,SIMG0138,10449,11576,9235,8522,9006,6409
SIMG0138_sg2,SIMG0138,2862,3346,3825,3022,2328,2269
SIMG0138_sg3,SIMG0138,1897,1854,1765,1926,1749,1275
SIMG0138_sg4,SIMG0138,4517,4609,3149,4573,3555,3544
SIMG0139_sg1,SIMG0139,5886,4751,5513,6293,6548,7496
SIMG0139_sg2,SIMG0139,3814,3816,3435,4022,4512,4787
SIMG0139_sg3,SIMG0139,5303,6797,5170,7304,4496,4086
SIMG0139_sg4,SIMG0139,7543,10449,9221,10205,9465,5718
SIMG0140_sg1,SIMG0140,1890,2832,2909,2655,2438,2923
SIMG0140_sg2,SIMG0140,4813,3382,5550,5729,7051,4329
SIMG0140_sg3,SIMG0140,7645,6911,5064,5722,5253,6941
SIMG0140_sg4,SIMG0140,5003,3925,5310,5099,4433,3976
SIMG0141_sg1,SIMG0141,5352,5367,3521,6639,3509,5236
SIMG0141_sg2,SIMG0141,8205,7344,5468,6669,7156,4577
SIMG0141_sg3,SIMG0141,4148,5923,4547,5006,4424,3802
SIMG0141_sg4,SIMG0141,7975,8064,6564,8074,8087,8911
SIMG0142_sg1,SIMG0142,4059,4239,4344,3659,3862,4460
SIMG0142_sg2,SIMG0142,4623,7523,5811,5018,3712,4038
SIMG0142_sg3,SIMG0142,4291,3331,3626,4574,3729,3181
SIMG0142_sg4,SIMG0142,4487,5555,5026,4390,3954,3755
SIMG0143_sg1,SIMG0143,7001,6640,5361,7799,6609,4918
SIMG0143_sg2,SIMG0143,6855,6045,4434,6753,5122,3553
SIMG0143_sg3,SIMG0143,3963,3585,2217,4703,2673,2677
SIMG0143_sg4,SIMG0143,5981,6636,5154,5082,6961,4448
SIMG0144_sg1,SIMG0144,5894,8212,5425,7344,9069,5835
SIMG0144_sg2,SIMG0144,5062,3991,5189,3075,4473,3698
SIMG0144_sg3,SIMG0144,3163,3816,4981,4315,3796,2479
SIMG0144_sg4,SIMG0144,8427,6486,5118,5692,4102,3830
SIMG0145_sg1,SIMG0145,2524,2215,2645,2917,2089,2057
SIMG0145_sg2,SIMG0145,5107,3407,5040,3470,4043,3326
SIMG0145_sg3,SIMG0145,3603,4356,5152,4318,5593,4966
SIMG0145_sg4,SIMG0145,3706,3802,3684,3566,3876,2662
SIMG0146_sg1,SIMG0146,8007,5684,5359,7590,7168,5537
SIMG0146_sg2,SIMG0146,4379,3517,4615,3059,4136,3265
SIMG0146_sg3,SIMG0146,3102,2425,2603,2611,3366,1559
SIMG0146_sg4,SIMG0146,5682,5417,5092,6501,4166,4135
SIMG0147_sg1,SIMG0147,4817,5970,3250,5964,4517,4988
SIMG0147_sg2,SIMG0147,6033,9276,5589,7048,6860,9006
SIMG0147_sg3,SIMG0147,5334,5116,6370,6651,7893,5128
SIMG0147_sg4,SIMG0147,3506,3257,3746,4377,4253,2996
SIMG0148_sg1,SIMG0148,12557,10152,8631,9227,9125,7966
SIMG0148_sg2,SIMG0148,7706,4478,5603,5395,4315,3122
SIMG0148_sg3,SIMG0148,5292,5136,4730,6372,5917,6491
SIMG0148_sg4,SIMG0148,4953,4575,2854,3237,4091,3362
SIMG0149_sg1,SIMG0149,6668,7697,4560,7043,5207,3750
SIMG0149_sg2,SIMG0149,9216,10513,10314,14540,10274,6514
SIMG0149_sg3,SIMG0149,5973,5940,4483,6155,6845,4858
SIMG0149_sg4,SIMG0149,3657,4198,2954,5421,4311,2893
SIMG0150_sg1,SIMG0150,8171,6152,4979,5264,5525,5485
SIMG0150_sg2,SIMG0150,3994,5565,6031,7276,3503,4448
SIMG0150_sg3,SIMG0150,2078,3531,3506,2931,4102,2428
SIMG0150_sg4,SIMG0150,4658,4931,3179,3809,3547,2992
SIMG0151_sg1,SIMG0151,3106,2256,2943,3190,2726,2164
SIMG0151_sg2,SIMG0151,3798,4035,4637,4253,4301,5915
SIMG0151_sg3,SIMG0151,3090,2649,1885,3198,3748,2612
SIMG0151_sg4,SIMG0151,5230,4369,5245,5738,3011,3710
SIMG0152_sg1,SIMG0152,7287,6920,6289,9402,7893,5067
SIMG0152_sg2,SIMG0152,5132,4280,3922,4947,4670,4327
SIMG0152_sg3,SIMG0152,6677,6357,5206,6114,7942,4261
SIMG0152_sg4,SIMG0152,4901,5872,3523,5719,6299,4658
SIMG0153_sg1,SIMG0153,7832,5102,5381,4472,5446,4201
SIMG0153_sg2,SIMG0153,6331,6385,5642,6060,5737,3587
SIMG0153_sg3,SIMG0153,11093,9126,7748,10767,8223,7783
SIMG0153_sg4,SIMG0153,7805,9000,8089,9490,7070,4787
SIMG0154_sg1,SIMG0154,5196,4844,4161,4709,5392,3747
SIMG0154_sg2,SIMG0154,5076,4927,3860,5532,6110,4993
SIMG0154_sg3,SIMG0154,4647,4573,4682,4489,3367,4573
SIMG0154_sg4,SIMG0154,4910,5573,4365,4852,4418,4048
SIMG0155_sg1,SIMG0155,5039,6019,4882,4595,6199,4536
SIMG0155_sg2,SIMG0155,6416,4430,4911,4896,4881,4273
SIMG0155_sg3,SIMG0155,7467,5663,5668,7093,5993,5873
SIMG0155_sg4,SIMG0155,6003,5129,5617,5956,5056,6048
SIMG0156_sg1,SIMG0156,6906,7438,5078,5868,6006,5083
SIMG0156_sg2,SIMG0156,9997,10662,8346,10870,13477,8900
SIMG0156_sg3,SIMG0156,3903,3551,2443,2959,2473,2451
SIMG0156_sg4,SIMG0156,5389,4445,4951,4842,4877,4851
SIMG0157_sg1,SIMG0157,6634,6561,4859,4216,4802,4859
SIMG0157_sg2,SIMG0157,4468,4691,2840,4231,3064,2708
SIMG0157_sg3,SIMG0157,5084,4553,4048,6435,3695,3020
SIMG0157_sg4,SIMG0157,7346,6355,4686,5831,5479,4254
SIMG0158_sg1,SIMG0158,4672,5889,3629,4919,4306,2469
SIMG0158_sg2,SIMG0158,10836,10097,9751,9466,9959,7084
SIMG0158_sg3,SIMG0158,6415,4095,4127,3353,4025,3719
SIMG0158_sg4,SIMG0158,2713,3827,2541,3509,4462,4432
SIMG0159_sg1,SIMG0159,5928,6863,6080,2342,3243,2398
SIMG0159_sg2,SIMG0159,4803,3594,2250,3972,3196,2424
SIMG0159_sg3,SIMG0159,3683,3917,4859,4565,4119,2551
SIMG0159_sg4,SIMG0159,9275,8474,6838,4596,5246,3595
SIMG0160_sg1,SIMG0160,5578,5281,5584,7151,5705,4945
SIMG0160_sg2,SIMG0160,5422,5075,3643,4668,5305,3672
SIMG0160_sg3,SIMG0160,2507,1687,2116,2346,2187,1312
SIMG0160_sg4,SIMG0160,6357,3534,4530,5503,4621,5940
SIMG0161_sg1,SIMG0161,3509,4931,4047,5618,6322,4278
SIMG0161_sg2,SIMG0161,12600,9079,6228,9691,5314,4780
SIMG0161_sg3,SIMG0161,3782,5170,3738,3599,3898,3408
SIMG0161_sg4,SIMG0161,3812,2927,3020,3164,2682,2271
SIMG0162_sg1,SIMG0162,9477,10182,9443,8435,11819,7764
SIMG0162_sg2,SIMG0162,3794,3960,2926,3420,3270,2984
SIMG0162_sg3,SIMG0162,6527,5178,7272,5513,6521,4985
SIMG0162_sg4,SIMG0162,6397,4318,4047,4536,6420,2956
SIMG0163_sg1,SIMG0163,9757,7164,8236,7775,6607,5866
SIMG0163_sg2,SIMG0163,13099,11271,9135,8965,8579,8003
SIMG0163_sg3,SIMG0163,4361,4484,4513,6046,4752,4322
SIMG0163_sg4,SIMG0163,4511,4480,5078,6736,6456,3920
SIMG0164_sg1,SIMG0164,6057,4543,2829,4491,4036,3873
SIMG0164_sg2,SIMG0164,9063,7753,8681,9256,7976,9046
SIMG0164_sg3,SIMG0164,12099,6960,7034,8025,7870,6102
SIMG0164_sg4,SIMG0164,3242,2986,3179,4208,4539,3154
SIMG0165_sg1,SIMG0165,6550,7092,3511,7663,5840,3873
SIMG0165_sg2,SIMG0165,3217,2688,2759,3633,2389,2661
SIMG0165_sg3,SIMG0165,2777,2843,2016,3105,3204,2089
SIMG0165_sg4,SIMG0165,5353,8236,7747,9095,5964,5168
SIMG0166_sg1,SIMG0166,5330,4629,4140,1546,1392,1558
SIMG0166_sg2,SIMG0166,6920,8511,6128,4063,3632,2764
SIMG0166_sg3,SIMG0166,3725,3637,3321,2282,2218,1625
SIMG0166_sg4,SIMG0166,3331,3289,3190,990,973,1156
SIMG0167_sg1,SIMG0167,7666,10093,7298,8125,8779,7743
SIMG0167_sg2,SIMG0167,4639,7008,3875,6818,3771,4245
SIMG0167_sg3,SIMG0167,3172,3875,2951,3238,3782,2122
SIMG0167_sg4,SIMG0167,7524,6401,9161,6069,6469,4321
SIMG0168_sg1,SIMG0168,4710,5601,4204,5479,4111,4368
SIMG0168_sg2,SIMG0168,6456,8737,7839,9685,8181,5532
SIMG0168_sg3,SIMG0168,5772,5368,4649,5078,6457,2711
SIMG0168_sg4,SIMG0168,7674,6203,5345,7443,4747,3854
SIMG0169_sg1,SIMG0169,5534,4458,3206,4686,3401,3195
SIMG0169_sg2,SIMG0169,3804,3520,3703,2992,2976,2527
SIMG0169_sg3,SIMG0169,4284,2740,3039,3040,4488,2339
SIMG0169_sg4,SIMG0169,10072,7849,6114,7584,7027,5634
SIMG0170_sg1,SIMG0170,5182,9300,6502,6186,5948,5026
SIMG0170_sg2,SIMG0170,6995,6521,4804,7628,7816,4603
SIMG0170_sg3,SIMG0170,11718,11016,11124,19021,10438,8526
SIMG0170_sg4,SIMG0170,5032,4798,4404,5595,4588,3110
SIMG0171_sg1,SIMG0171,15665,13088,9089,9375,9796,10335
SIMG0171_sg2,SIMG0171,3878,4405,2731,3571,2760,2606
SIMG0171_sg3,SIMG0171,8020,6037,9239,8607,6648,5752
SIMG0171_sg4,SIMG0171,6283,5187,7877,5041,5127,6583
SIMG0172_sg1,SIMG0172,2726,3259,2742,2552,2893,2174
SIMG0172_sg2,SIMG0172,7883,7807,8034,5766,5548,4731
SIMG0172_sg3,SIMG0172,4793,6545,5812,6407,8722,5429
SIMG0172_sg4,SIMG0172,2727,3275,2562,3400,2626,2095
SIMG0173_sg1,SIMG0173,10108,8162,10007,8011,10667,4805
SIMG0173_sg2,SIMG0173,3200,5279,3806,4286,4091,2631
SIMG0173_sg3,SIMG0173,12757,13121,16399,13665,14873,9414
SIMG0173_sg4,SIMG0173,4748,5034,3635,5040,5246,3559
SIMG0174_sg1,SIMG0174,4443,4193,4202,4245,2439,3513
SIMG0174_sg2,SIMG0174,5855,7019,5032,7324,5263,4405
SIMG0174_sg3,SIMG0174,3891,3980,4180,4322,3924,3644
SIMG0174_sg4,SIMG0174,4537,3018,3649,4123,3125,2344
SIMG0175_sg1,SIMG0175,3938,5156,3762,4508,4633,3850
SIMG0175_sg2,SIMG0175,4549,5161,5022,6735,4601,4686
SIMG0175_sg3,SIMG0175,8236,6804,5259,8733,7734,6643
SIMG0175_sg4,SIMG0175,3394,3927,2891,3452,2326,2053
SIMG0176_sg1,SIMG0176,5851,4294,4356,8196,4892,3549
SIMG0176_sg2,SIMG0176,4574,3784,3974,3039,5763,3382
SIMG0176_sg3,SIMG0176,7403,6194,6000,7044,4841,6035
SIMG0176_sg4,SIMG0176,4751,5199,3918,4246,4994,3323
SIMG0177_sg1,SIMG0177,8785,10431,9922,6725,6762,6948
SIMG0177_sg2,SIMG0177,4011,3752,3183,4365,3521,3462
SIMG0177_sg3,SIMG0177,5131,8158,5943,6020,7444,5664
SIMG0177_sg4,SIMG0177,7753,7971,8281,9294,7178,7159
SIMG0178_sg1,SIMG0178,6226,4684,4218,6809,5000,3729
SIMG0178_sg2,SIMG0178,4961,4375,3640,5210,4166,3955
SIMG0178_sg3,SIMG0178,4600,3913,3916,3214,3133,3713
SIMG0178_sg4,SIMG0178,3922,4504,3616,2780,2642,2324
SIMG0179_sg1,SIMG0179,7534,7077,5365,5668,7653,3778
SIMG0179_sg2,SIMG0179,5767,4459,4918,4618,6431,3474
SIMG0179_sg3,SIMG0179,7556,6600,8717,5793,7215,4053
SIMG0179_sg4,SIMG0179,7345,4455,3131,4883,4759,3252
SIMG0180_sg1,SIMG0180,3012,3152,3741,3773,2091,2645
SIMG0180_sg2,SIMG0180,5456,7492,5773,6994,7425,3178
SIMG0180_sg3,SIMG0180,2966,3470,2793,2334,3646,1706
SIMG0180_sg4,SIMG0180,4084,4998,4211,3155,3390,4472
SIMG0181_sg1,SIMG0181,2411,4317,2544,2183,4387,2329
SIMG0181_sg2,SIMG0181,4720,4655,3965,4403,3593,3641
SIMG0181_sg3,SIMG0181,8104,6188,6661,4350,5869,3787
SIMG0181_sg4,SIMG0181,5074,4674,6069,5120,5010,3999
SIMG0182_sg1,SIMG0182,8780,11008,8072,9823,9966,11255
SIMG0182_sg2,SIMG0182,5687,6710,9606,7563,6417,5854
SIMG0182_sg3,SIMG0182,3690,5386,4114,3825,3619,2561
SIMG0182_sg4,SIMG0182,2435,2824,1972,2467,2026,1703
SIMG0183_sg1,SIMG0183,7418,7429,6190,7064,7756,5317
SIMG0183_sg2,SIMG0183,3175,3317,2878,2746,3948,3347
SIMG0183_sg3,SIMG0183,3277,4178,4089,3406,6578,4099
SIMG0183_sg4,SIMG0183,4417,3759,3166,3799,3234,4053
SIMG0184_sg1,SIMG0184,5026,4789,3918,4850,4299,3521
SIMG0184_sg2,SIMG0184,6759,5873,6797,5869,6587,4887
SIMG0184_sg3,SIMG0184,2898,3839,3526,3099,3014,3024
SIMG0184_sg4,SIMG0184,14508,14598,13625,11023,16888,10810
SIMG0185_sg1,SIMG0185,6514,6294,5391,5753,5384,3051
SIMG0185_sg2,SIMG0185,5920,6794,3343,4279,5919,3339
SIMG0185_sg3,SIMG0185,4744,3819,4171,4223,3380,3513
SIMG0185_sg4,SIMG0185,4173,5048,3956,4986,3659,3026
SIMG0186_sg1,SIMG0186,5684,4943,6066,4709,5234,5032
SIMG0186_sg2,SIMG0186,7418,6127,7913,7537,5844,4912
SIMG0186_sg3,SIMG0186,8022,7945,6951,8843,8507,4423
SIMG0186_sg4,SIMG0186,6606,6562,3804,6464,6304,4838
SIMG0187_sg1,SIMG0187,6124,5090,5485,6790,4657,3922
SIMG0187_sg2,SIMG0187,3855,4500,2924,2992,4389,2914
SIMG0187_sg3,SIMG0187,9237,7246,8319,9934,8960,6919
SIMG0187_sg4,SIMG0187,4346,4258,5361,4909,4705,4658
SIMG0188_sg1,SIMG0188,5447,7141,4627,8423,5628,3618
SIMG0188_sg2,SIMG0188,3104,3442,2749,3415,3141,3350
SIMG0188_sg3,SIMG0188,2878,2256,2328,3939,2473,2424
SIMG0188_sg4,SIMG0188,6023,5384,5805,6627,5453,3455
SIMG0189_sg1,SIMG0189,4635,5031,3599,6157,5009,3542
SIMG0189_sg2,SIMG0189,5057,7439,7926,7143,6632,5647
SIMG0189_sg3,SIMG0189,6773,7624,4526,6337,5922,5942
SIMG0189_sg4,SIMG0189,9415,6961,5976,7807,11878,6957
SIMG0190_sg1,SIMG0190,6543,8707,5675,8677,10445,4990
SIMG0190_sg2,SIMG0190,6765,4684,3754,5880,4024,3877
SIMG0190_sg3,SIMG0190,7432,8415,6860,5122,5812,4525
SIMG0190_sg4,SIMG0190,6576,9396,5808,7837,7692,3001
SIMG0191_sg1,SIMG0191,4417,4463,3422,3187,3747,3629
SIMG0191_sg2,SIMG0191,9977,8483,7828,6234,6047,4891
SIMG0191_sg3,SIMG0191,6582,7101,5865,6912,5284,5275
SIMG0191_sg4,SIMG0191,6871,4860,6023,8473,6034,5094
SIMG0192_sg1,SIMG0192,12358,7640,8432,8558,7698,7488
SIMG0192_sg2,SIMG0192,7581,6566,6821,9109,5082,5226
SIMG0192_sg3,SIMG0192,4491,5259,3991,3195,4749,5059
SIMG0192_sg4,SIMG0192,5270,3010,4336,4071,3316,2328
SIMG0193_sg1,SIMG0193,4771,3951,2975,4831,3545,3080
SIMG0193_sg2,SIMG0193,5122,5338,4515,5142,6569,3496
SIMG0193_sg3,SIMG0193,7968,5271,3886,3604,5397,5001
SIMG0193_sg4,SIMG0193,7041,5200,5531,6157,7232,4840
SIMG0194_sg1,SIMG0194,5038,4111,4048,4225,4965,2657
