strain,temperature_c,replicate,time_h,od600
ZW-HYPER-02,84,3,14,0.5936
ZW-HYPER-02,84,3,15,0.6564
ZW-HYPER-02,84,3,16,0.7466
ZW-HYPER-02,84,3,17,0.6450
ZW-HYPER-02,84,3,18,0.7805
ZW-HYPER-02,84,3,19,0.7139
ZW-HYPER-02,84,3,20,0.7104
ZW-HYPER-02,84,3,21,0.6997
ZW-HYPER-02,84,3,22,0.7542
ZW-HYPER-02,84,3,23,0.7708
ZW-HYPER-02,84,3,24,0.6987
ZW-HYPER-02,84,3,25,0.8031
ZW-HYPER-02,84,3,26,0.8112
ZW-HYPER-02,84,3,27,0.8123
ZW-HYPER-02,84,3,28,0.7114
ZW-HYPER-02,84,3,29,0.7775
ZW-HYPER-02,84,3,30,0.7522
ZW-HYPER-02,87,1,0,0.0140
ZW-HYPER-02,87,1,1,0.0282
ZW-HYPER-02,87,1,2,0.0470
ZW-HYPER-02,87,1,3,0.0706
ZW-HYPER-02,87,1,4,0.1046
ZW-HYPER-02,87,1,5,0.1602
ZW-HYPER-02,87,1,6,0.2280
ZW-HYPER-02,87,1,7,0.3300
ZW-HYPER-02,87,1,8,0.4257
ZW-HYPER-02,87,1,9,0.4653
ZW-HYPER-02,87,1,10,0.6035
ZW-HYPER-02,87,1,11,0.6613
ZW-HYPER-02,87,1,12,0.7359
ZW-HYPER-02,87,1,13,0.8620
ZW-HYPER-02,87,1,14,0.8547
ZW-HYPER-02,87,1,15,0.8664
ZW-HYPER-02,87,1,16,0.8577
ZW-HYPER-02,87,1,17,0.8277
ZW-HYPER-02,87,1,18,0.8584
ZW-HYPER-02,87,1,19,0.8792
ZW-HYPER-02,87,1,20,0.8379
ZW-HYPER-02,87,1,21,0.9166
ZW-HYPER-02,87,1,22,0.8180
ZW-HYPER-02,87,1,23,0.8928
ZW-HYPER-02,87,1,24,0.9198
ZW-HYPER-02,87,1,25,0.9321
ZW-HYPER-02,87,1,26,0.8018
ZW-HYPER-02,87,1,27,0.8549
ZW-HYPER-02,87,1,28,0.9058
ZW-HYPER-02,87,1,29,0.8666
ZW-HYPER-02,87,1,30,0.8951
ZW-HYPER-02,87,2,0,0.0086
ZW-HYPER-02,87,2,1,0.0265
ZW-HYPER-02,87,2,2,0.0535
ZW-HYPER-02,87,2,3,0.0733
ZW-HYPER-02,87,2,4,0.1069
ZW-HYPER-02,87,2,5,0.1500
ZW-HYPER-02,87,2,6,0.2435
ZW-HYPER-02,87,2,7,0.3191
ZW-HYPER-02,87,2,8,0.4050
ZW-HYPER-02,87,2,9,0.5122
ZW-HYPER-02,87,2,10,0.6336
ZW-HYPER-02,87,2,11,0.6746
ZW-HYPER-02,87,2,12,0.7364
ZW-HYPER-02,87,2,13,0.7943
ZW-HYPER-02,87,2,14,0.7676
ZW-HYPER-02,87,2,15,0.8124
ZW-HYPER-02,87,2,16,0.7889
ZW-HYPER-02,87,2,17,0.8492
ZW-HYPER-02,87,2,18,0.9018
ZW-HYPER-02,87,2,19,0.9811
ZW-HYPER-02,87,2,20,0.8729
ZW-HYPER-02,87,2,21,0.9103
ZW-HYPER-02,87,2,22,0.8049
ZW-HYPER-02,87,2,23,0.8714
ZW-HYPER-02,87,2,24,0.8535
ZW-HYPER-02,87,2,25,0.8807
ZW-HYPER-02,87,2,26,0.8982
ZW-HYPER-02,87,2,27,0.8332
ZW-HYPER-02,87,2,28,0.9290
ZW-HYPER-02,87,2,29,0.9294
ZW-HYPER-02,87,2,30,0.8699
ZW-HYPER-02,87,3,0,0.0136
ZW-HYPER-02,87,3,1,0.0231
ZW-HYPER-02,87,3,2,0.0501
ZW-HYPER-02,87,3,3,0.0752
ZW-HYPER-02,87,3,4,0.1129
ZW-HYPER-02,87,3,5,0.1618
ZW-HYPER-02,87,3,6,0.2205
ZW-HYPER-02,87,3,7,0.3097
ZW-HYPER-02,87,3,8,0.3744
ZW-HYPER-02,87,3,9,0.4724
ZW-HYPER-02,87,3,10,0.5875
ZW-HYPER-02,87,3,11,0.6999
ZW-HYPER-02,87,3,12,0.7177
ZW-HYPER-02,87,3,13,0.7217
ZW-HYPER-02,87,3,14,0.8977
ZW-HYPER-02,87,3,15,0.8584
ZW-HYPER-02,87,3,16,0.9038
ZW-HYPER-02,87,3,17,0.9169
ZW-HYPER-02,87,3,18,0.8433
ZW-HYPER-02,87,3,19,0.9237
ZW-HYPER-02,87,3,20,0.9437
ZW-HYPER-02,87,3,21,0.8530
ZW-HYPER-02,87,3,22,0.8973
ZW-HYPER-02,87,3,23,0.8728
ZW-HYPER-02,87,3,24,0.8957
ZW-HYPER-02,87,3,25,0.8752
ZW-HYPER-02,87,3,26,0.8008
ZW-HYPER-02,87,3,27,0.8310
ZW-HYPER-02,87,3,28,0.9415
ZW-HYPER-02,87,3,29,0.9112
ZW-HYPER-02,87,3,30,0.8733
ZW-HYPER-02,90,1,0,0.0167
ZW-HYPER-02,90,1,1,0.0385
ZW-HYPER-02,90,1,2,0.0480
ZW-HYPER-02,90,1,3,0.0827
ZW-HYPER-02,90,1,4,0.1147
ZW-HYPER-02,90,1,5,0.1863
ZW-HYPER-02,90,1,6,0.2727
ZW-HYPER-02,90,1,7,0.3812
ZW-HYPER-02,90,1,8,0.5108
ZW-HYPER-02,90,1,9,0.5923
ZW-HYPER-02,90,1,10,0.6529
ZW-HYPER-02,90,1,11,0.7161
ZW-HYPER-02,90,1,12,0.7656
ZW-HYPER-02,90,1,13,0.8376
ZW-HYPER-02,90,1,14,0.8951
ZW-HYPER-02,90,1,15,0.8951
ZW-HYPER-02,90,1,16,0.9811
ZW-HYPER-02,90,1,17,0.9459
ZW-HYPER-02,90,1,18,0.9705
ZW-HYPER-02,90,1,19,0.9089
ZW-HYPER-02,90,1,20,0.9876
ZW-HYPER-02,90,1,21,1.0401
ZW-HYPER-02,90,1,22,1.0328
ZW-HYPER-02,90,1,23,0.9459
ZW-HYPER-02,90,1,24,1.0400
ZW-HYPER-02,90,1,25,0.9143
ZW-HYPER-02,90,1,26,0.9526
ZW-HYPER-02,90,1,27,0.9960
ZW-HYPER-02,90,1,28,1.0356
ZW-HYPER-02,90,1,29,0.9713
ZW-HYPER-02,90,1,30,1.0586
ZW-HYPER-02,90,2,0,0.0192
ZW-HYPER-02,90,2,1,0.0303
ZW-HYPER-02,90,2,2,0.0529
ZW-HYPER-02,90,2,3,0.0890
ZW-HYPER-02,90,2,4,0.1320
ZW-HYPER-02,90,2,5,0.1932
ZW-HYPER-02,90,2,6,0.2488
ZW-HYPER-02,90,2,7,0.3509
ZW-HYPER-02,90,2,8,0.4681
ZW-HYPER-02,90,2,9,0.5681
ZW-HYPER-02,90,2,10,0.7506
ZW-HYPER-02,90,2,11,0.7846
ZW-HYPER-02,90,2,12,0.8890
ZW-HYPER-02,90,2,13,0.8805
ZW-HYPER-02,90,2,14,0.9022
ZW-HYPER-02,90,2,15,0.8428
ZW-HYPER-02,90,2,16,0.8628
ZW-HYPER-02,90,2,17,1.0147
ZW-HYPER-02,90,2,18,0.9913
ZW-HYPER-02,90,2,19,0.8965
ZW-HYPER-02,90,2,20,0.9089
ZW-HYPER-02,90,2,21,0.9195
ZW-HYPER-02,90,2,22,0.8976
ZW-HYPER-02,90,2,23,1.0177
ZW-HYPER-02,90,2,24,1.0100
ZW-HYPER-02,90,2,25,0.8983
ZW-HYPER-02,90,2,26,0.9627
ZW-HYPER-02,90,2,27,0.9755
ZW-HYPER-02,90,2,28,0.8657
ZW-HYPER-02,90,2,29,0.8797
ZW-HYPER-02,90,2,30,0.8990
ZW-HYPER-02,90,3,0,0.0092
ZW-HYPER-02,90,3,1,0.0292
ZW-HYPER-02,90,3,2,0.0571
ZW-HYPER-02,90,3,3,0.0778
ZW-HYPER-02,90,3,4,0.1310
ZW-HYPER-02,90,3,5,0.1805
ZW-HYPER-02,90,3,6,0.2645
ZW-HYPER-02,90,3,7,0.3768
ZW-HYPER-02,90,3,8,0.4652
ZW-HYPER-02,90,3,9,0.5907
ZW-HYPER-02,90,3,10,0.6548
ZW-HYPER-02,90,3,11,0.8510
ZW-HYPER-02,90,3,12,0.8479
ZW-HYPER-02,90,3,13,0.8931
ZW-HYPER-02,90,3,14,1.0078
ZW-HYPER-02,90,3,15,0.8767
ZW-HYPER-02,90,3,16,0.9813
ZW-HYPER-02,90,3,17,0.9550
ZW-HYPER-02,90,3,18,0.9023
ZW-HYPER-02,90,3,19,1.0111
ZW-HYPER-02,90,3,20,0.9588
ZW-HYPER-02,90,3,21,0.9482
ZW-HYPER-02,90,3,22,0.9889
ZW-HYPER-02,90,3,23,0.9724
ZW-HYPER-02,90,3,24,0.8806
ZW-HYPER-02,90,3,25,0.9785
ZW-HYPER-02,90,3,26,0.9471
ZW-HYPER-02,90,3,27,0.9548
ZW-HYPER-02,90,3,28,0.9467
ZW-HYPER-02,90,3,29,0.9050
ZW-HYPER-02,90,3,30,0.8812
ZW-HYPER-02,93,1,0,0.0166
ZW-HYPER-02,93,1,1,0.0295
ZW-HYPER-02,93,1,2,0.0456
ZW-HYPER-02,93,1,3,0.0541
ZW-HYPER-02,93,1,4,0.0912
ZW-HYPER-02,93,1,5,0.1252
ZW-HYPER-02,93,1,6,0.1805
ZW-HYPER-02,93,1,7,0.2439
ZW-HYPER-02,93,1,8,0.2984
ZW-HYPER-02,93,1,9,0.3655
ZW-HYPER-02,93,1,10,0.4811
ZW-HYPER-02,93,1,11,0.5939
ZW-HYPER-02,93,1,12,0.5691
ZW-HYPER-02,93,1,13,0.6974
ZW-HYPER-02,93,1,14,0.6907
ZW-HYPER-02,93,1,15,0.7378
ZW-HYPER-02,93,1,16,0.7967
ZW-HYPER-02,93,1,17,0.8191
ZW-HYPER-02,93,1,18,0.8284
ZW-HYPER-02,93,1,19,0.7530
ZW-HYPER-02,93,1,20,0.7506
ZW-HYPER-02,93,1,21,0.8136
ZW-HYPER-02,93,1,22,0.8039
ZW-HYPER-02,93,1,23,0.7480
ZW-HYPER-02,93,1,24,0.8296
ZW-HYPER-02,93,1,25,0.8059
ZW-HYPER-02,93,1,26,0.7753
ZW-HYPER-02,93,1,27,0.7833
ZW-HYPER-02,93,1,28,0.7578
ZW-HYPER-02,93,1,29,0.7762
ZW-HYPER-02,93,1,30,0.7987
ZW-HYPER-02,93,2,0,0.0232
ZW-HYPER-02,93,2,1,0.0246
ZW-HYPER-02,93,2,2,0.0460
ZW-HYPER-02,93,2,3,0.0621
ZW-HYPER-02,93,2,4,0.0846
ZW-HYPER-02,93,2,5,0.1364
ZW-HYPER-02,93,2,6,0.1722
ZW-HYPER-02,93,2,7,0.2534
ZW-HYPER-02,93,2,8,0.3448
ZW-HYPER-02,93,2,9,0.4235
ZW-HYPER-02,93,2,10,0.5004
ZW-HYPER-02,93,2,11,0.5423
ZW-HYPER-02,93,2,12,0.6256
ZW-HYPER-02,93,2,13,0.7423
ZW-HYPER-02,93,2,14,0.7113
ZW-HYPER-02,93,2,15,0.7976
ZW-HYPER-02,93,2,16,0.6411
ZW-HYPER-02,93,2,17,0.7896
ZW-HYPER-02,93,2,18,0.8047
ZW-HYPER-02,93,2,19,0.7229
ZW-HYPER-02,93,2,20,0.8270
ZW-HYPER-02,93,2,21,0.7972
ZW-HYPER-02,93,2,22,0.7767
ZW-HYPER-02,93,2,23,0.7869
ZW-HYPER-02,93,2,24,0.7708
ZW-HYPER-02,93,2,25,0.8195
ZW-HYPER-02,93,2,26,0.7545
ZW-HYPER-02,93,2,27,0.8320
ZW-HYPER-02,93,2,28,0.7765
ZW-HYPER-02,93,2,29,0.7212
ZW-HYPER-02,93,2,30,0.7793
ZW-HYPER-02,93,3,0,0.0174
ZW-HYPER-02,93,3,1,0.0271
ZW-HYPER-02,93,3,2,0.0484
ZW-HYPER-02,93,3,3,0.0629
ZW-HYPER-02,93,3,4,0.1029
ZW-HYPER-02,93,3,5,0.1304
ZW-HYPER-02,93,3,6,0.1934
ZW-HYPER-02,93,3,7,0.2493
ZW-HYPER-02,93,3,8,0.3323
ZW-HYPER-02,93,3,9,0.3762
ZW-HYPER-02,93,3,10,0.4432
ZW-HYPER-02,93,3,11,0.5144
ZW-HYPER-02,93,3,12,0.6407
ZW-HYPER-02,93,3,13,0.6901
ZW-HYPER-02,93,3,14,0.7038
ZW-HYPER-02,93,3,15,0.8044
ZW-HYPER-02,93,3,16,0.7539
ZW-HYPER-02,93,3,17,0.7655
ZW-HYPER-02,93,3,18,0.7936
ZW-HYPER-02,93,3,19,0.8111
ZW-HYPER-02,93,3,20,0.8242
ZW-HYPER-02,93,3,21,0.7461
ZW-HYPER-02,93,3,22,0.7980
ZW-HYPER-02,93,3,23,0.7771
ZW-HYPER-02,93,3,24,0.7978
ZW-HYPER-02,93,3,25,0.7824
ZW-HYPER-02,93,3,26,0.7984
ZW-HYPER-02,93,3,27,0.7965
ZW-HYPER-02,93,3,28,0.8256
ZW-HYPER-02,93,3,29,0.7098
ZW-HYPER-02,93,3,30,0.7988
ZW-HYPER-02,96,1,0,0.0148
ZW-HYPER-02,96,1,1,0.0189
ZW-HYPER-02,96,1,2,0.0234
ZW-HYPER-02,96,1,3,0.0344
ZW-HYPER-02,96,1,4,0.0274
ZW-HYPER-02,96,1,5,0.0347
ZW-HYPER-02,96,1,6,0.0299
ZW-HYPER-02,96,1,7,0.0255
ZW-HYPER-02,96,1,8,0.0353
ZW-HYPER-02,96,1,9,0.0405
ZW-HYPER-02,96,1,10,0.0329
ZW-HYPER-02,96,1,11,0.0434
ZW-HYPER-02,96,1,12,0.0447
ZW-HYPER-02,96,1,13,0.0502
ZW-HYPER-02,96,1,14,0.0532
ZW-HYPER-02,96,1,15,0.0464
ZW-HYPER-02,96,1,16,0.0574
ZW-HYPER-02,96,1,17,0.0642
ZW-HYPER-02,96,1,18,0.0705
ZW-HYPER-02,96,1,19,0.0690
ZW-HYPER-02,96,1,20,0.0751
ZW-HYPER-02,96,1,21,0.0689
ZW-HYPER-02,96,1,22,0.0731
ZW-HYPER-02,96,1,23,0.0822
ZW-HYPER-02,96,1,24,0.0950
ZW-HYPER-02,96,1,25,0.0858
ZW-HYPER-02,96,1,26,0.0846
ZW-HYPER-02,96,1,27,0.0931
ZW-HYPER-02,96,1,28,0.0987
ZW-HYPER-02,96,1,29,0.1035
ZW-HYPER-02,96,1,30,0.1089
ZW-HYPER-02,96,2,0,0.0182
ZW-HYPER-02,96,2,1,0.0270
ZW-HYPER-02,96,2,2,0.0216
ZW-HYPER-02,96,2,3,0.0199
ZW-HYPER-02,96,2,4,0.0273
ZW-HYPER-02,96,2,5,0.0282
ZW-HYPER-02,96,2,6,0.0303
ZW-HYPER-02,96,2,7,0.0287
ZW-HYPER-02,96,2,8,0.0295
ZW-HYPER-02,96,2,9,0.0386
ZW-HYPER-02,96,2,10,0.0473
ZW-HYPER-02,96,2,11,0.0319
ZW-HYPER-02,96,2,12,0.0422
ZW-HYPER-02,96,2,13,0.0433
ZW-HYPER-02,96,2,14,0.0518
ZW-HYPER-02,96,2,15,0.0611
ZW-HYPER-02,96,2,16,0.0562
ZW-HYPER-02,96,2,17,0.0566
ZW-HYPER-02,96,2,18,0.0634
ZW-HYPER-02,96,2,19,0.0696
ZW-HYPER-02,96,2,20,0.0681
ZW-HYPER-02,96,2,21,0.0785
ZW-HYPER-02,96,2,22,0.0745
ZW-HYPER-02,96,2,23,0.0739
ZW-HYPER-02,96,2,24,0.0869
ZW-HYPER-02,96,2,25,0.0946
ZW-HYPER-02,96,2,26,0.0975
ZW-HYPER-02,96,2,27,0.0993
ZW-HYPER-02,96,2,28,0.0993
ZW-HYPER-02,96,2,29,0.1084
ZW-HYPER-02,96,2,30,0.1185
ZW-HYPER-02,96,3,0,0.0161
ZW-HYPER-02,96,3,1,0.0209
ZW-HYPER-02,96,3,2,0.0260
ZW-HYPER-02,96,3,3,0.0226
ZW-HYPER-02,96,3,4,0.0316
ZW-HYPER-02,96,3,5,0.0267
ZW-HYPER-02,96,3,6,0.0281
ZW-HYPER-02,96,3,7,0.0345
ZW-HYPER-02,96,3,8,0.0433
ZW-HYPER-02,96,3,9,0.0341
ZW-HYPER-02,96,3,10,0.0316
ZW-HYPER-02,96,3,11,0.0428
ZW-HYPER-02,96,3,12,0.0482
ZW-HYPER-02,96,3,13,0.0453
ZW-HYPER-02,96,3,14,0.0457
ZW-HYPER-02,96,3,15,0.0570
ZW-HYPER-02,96,3,16,0.0547
ZW-HYPER-02,96,3,17,0.0583
ZW-HYPER-02,96,3,18,0.0629
ZW-HYPER-02,96,3,19,0.0520
ZW-HYPER-02,96,3,20,0.0629
ZW-HYPER-02,96,3,21,0.0809
ZW-HYPER-02,96,3,22,0.0732
ZW-HYPER-02,96,3,23,0.0650
ZW-HYPER-02,96,3,24,0.0794
ZW-HYPER-02,96,3,25,0.0901
ZW-HYPER-02,96,3,26,0.0958
ZW-HYPER-02,96,3,27,0.0859
ZW-HYPER-02,96,3,28,0.0983
ZW-HYPER-02,96,3,29,0.1075
ZW-HYPER-02,96,3,30,0.1156
ZW-HYPER-02,99,1,0,0.0255
ZW-HYPER-02,99,1,1,0.0235
ZW-HYPER-02,99,1,2,0.0145
ZW-HYPER-02,99,1,3,0.0220
ZW-HYPER-02,99,1,4,0.0115
ZW-HYPER-02,99,1,5,0.0241
ZW-HYPER-02,99,1,6,0.0147
ZW-HYPER-02,99,1,7,0.0252
ZW-HYPER-02,99,1,8,0.0110
ZW-HYPER-02,99,1,9,0.0229
ZW-HYPER-02,99,1,10,0.0147
ZW-HYPER-02,99,1,11,0.0312
ZW-HYPER-02,99,1,12,0.0303
ZW-HYPER-02,99,1,13,0.0213
ZW-HYPER-02,99,1,14,0.0183
ZW-HYPER-02,99,1,15,0.0205
ZW-HYPER-02,99,1,16,0.0127
ZW-HYPER-02,99,1,17,0.0234
ZW-HYPER-02,99,1,18,0.0255
ZW-HYPER-02,99,1,19,0.0172
ZW-HYPER-02,99,1,20,0.0270
ZW-HYPER-02,99,1,21,0.0228
ZW-HYPER-02,99,1,22,0.0216
ZW-HYPER-02,99,1,23,0.0190
ZW-HYPER-02,99,1,24,0.0266
ZW-HYPER-02,99,1,25,0.0173
ZW-HYPER-02,99,1,26,0.0265
ZW-HYPER-02,99,1,27,0.0115
ZW-HYPER-02,99,1,28,0.0164
ZW-HYPER-02,99,1,29,0.0237
ZW-HYPER-02,99,1,30,0.0165
ZW-HYPER-02,99,2,0,0.0230
ZW-HYPER-02,99,2,1,0.0277
ZW-HYPER-02,99,2,2,0.0190
ZW-HYPER-02,99,2,3,0.0138
ZW-HYPER-02,99,2,4,0.0234
ZW-HYPER-02,99,2,5,0.0212
ZW-HYPER-02,99,2,6,0.0177
ZW-HYPER-02,99,2,7,0.0176
ZW-HYPER-02,99,2,8,0.0219
ZW-HYPER-02,99,2,9,0.0290
ZW-HYPER-02,99,2,10,0.0235
ZW-HYPER-02,99,2,11,0.0251
ZW-HYPER-02,99,2,12,0.0274
ZW-HYPER-02,99,2,13,0.0178
ZW-HYPER-02,99,2,14,0.0276
ZW-HYPER-02,99,2,15,0.0216
ZW-HYPER-02,99,2,16,0.0215
ZW-HYPER-02,99,2,17,0.0234
ZW-HYPER-02,99,2,18,0.0143
ZW-HYPER-02,99,2,19,0.0188
ZW-HYPER-02,99,2,20,0.0215
ZW-HYPER-02,99,2,21,0.0152
ZW-HYPER-02,99,2,22,0.0128
ZW-HYPER-02,99,2,23,0.0122
ZW-HYPER-02,99,2,24,0.0241
ZW-HYPER-02,99,2,25,0.0254
ZW-HYPER-02,99,2,26,0.0175
ZW-HYPER-02,99,2,27,0.0243
ZW-HYPER-02,99,2,28,0.0232
ZW-HYPER-02,99,2,29,0.0132
ZW-HYPER-02,99,2,30,0.0224
ZW-HYPER-02,99,3,0,0.0151
ZW-HYPER-02,99,3,1,0.0206
ZW-HYPER-02,99,3,2,0.0183
ZW-HYPER-02,99,3,3,0.0239
ZW-HYPER-02,99,3,4,0.0263
ZW-HYPER-02,99,3,5,0.0177
ZW-HYPER-02,99,3,6,0.0214
ZW-HYPER-02,99,3,7,0.0222
ZW-HYPER-02,99,3,8,0.0094
ZW-HYPER-02,99,3,9,0.0203
ZW-HYPER-02,99,3,10,0.0193
ZW-HYPER-02,99,3,11,0.0216
ZW-HYPER-02,99,3,12,0.0160
ZW-HYPER-02,99,3,13,0.0139
ZW-HYPER-02,99,3,14,0.0208
ZW-HYPER-02,99,3,15,0.0222
ZW-HYPER-02,99,3,16,0.0138
ZW-HYPER-02,99,3,17,0.0217
ZW-HYPER-02,99,3,18,0.0191
ZW-HYPER-02,99,3,19,0.0240
ZW-HYPER-02,99,3,20,0.0266
ZW-HYPER-02,99,3,21,0.0205
ZW-HYPER-02,99,3,22,0.0215
ZW-HYPER-02,99,3,23,0.0219
ZW-HYPER-02,99,3,24,0.0185
ZW-HYPER-02,99,3,25,0.0144
ZW-HYPER-02,99,3,26,0.0215
ZW-HYPER-02,99,3,27,0.0241
ZW-HYPER-02,99,3,28,0.0171
ZW-HYPER-02,99,3,29,0.0234
ZW-HYPER-02,99,3,30,0.0172
ZW-THERM-01,40,1,0,0.0167
ZW-THERM-01,40,1,1,0.0288
ZW-THERM-01,40,1,2,0.0205
ZW-THERM-01,40,1,3,0.0261
ZW-THERM-01,40,1,4,0.0263
ZW-THERM-01,40,1,5,0.0253
ZW-THERM-01,40,1,6,0.0196
ZW-THERM-01,40,1,7,0.0215
ZW-THERM-01,40,1,8,0.0234
ZW-THERM-01,40,1,9,0.0274
ZW-THERM-01,40,1,10,0.0219
ZW-THERM-01,40,1,11,0.0267
ZW-THERM-01,40,1,12,0.0327
ZW-THERM-01,40,1,13,0.0350
ZW-THERM-01,40,1,14,0.0370
ZW-THERM-01,40,1,15,0.0397
ZW-THERM-01,40,1,16,0.0315
ZW-THERM-01,40,1,17,0.0346
ZW-THERM-01,40,1,18,0.0445
ZW-THERM-01,40,1,19,0.0398
ZW-THERM-01,40,1,20,0.0432
ZW-THERM-01,40,1,21,0.0478
ZW-THERM-01,40,1,22,0.0410
ZW-THERM-01,40,1,23,0.0467
ZW-THERM-01,40,1,24,0.0471
ZW-THERM-01,40,1,25,0.0597
ZW-THERM-01,40,1,26,0.0518
ZW-THERM-01,40,1,27,0.0507
ZW-THERM-01,40,1,28,0.0576
ZW-THERM-01,40,1,29,0.0462
ZW-THERM-01,40,1,30,0.0548
ZW-THERM-01,40,2,0,0.0178
ZW-THERM-01,40,2,1,0.0230
ZW-THERM-01,40,2,2,0.0186
ZW-THERM-01,40,2,3,0.0203
ZW-THERM-01,40,2,4,0.0266
ZW-THERM-01,40,2,5,0.0218
ZW-THERM-01,40,2,6,0.0281
ZW-THERM-01,40,2,7,0.0230
ZW-THERM-01,40,2,8,0.0303
ZW-THERM-01,40,2,9,0.0309
ZW-THERM-01,40,2,10,0.0227
ZW-THERM-01,40,2,11,0.0317
ZW-THERM-01,40,2,12,0.0377
ZW-THERM-01,40,2,13,0.0365
ZW-THERM-01,40,2,14,0.0305
ZW-THERM-01,40,2,15,0.0347
ZW-THERM-01,40,2,16,0.0312
ZW-THERM-01,40,2,17,0.0389
ZW-THERM-01,40,2,18,0.0443
ZW-THERM-01,40,2,19,0.0404
ZW-THERM-01,40,2,20,0.0429
ZW-THERM-01,40,2,21,0.0384
ZW-THERM-01,40,2,22,0.0491
ZW-THERM-01,40,2,23,0.0429
ZW-THERM-01,40,2,24,0.0471
ZW-THERM-01,40,2,25,0.0447
ZW-THERM-01,40,2,26,0.0479
ZW-THERM-01,40,2,27,0.0494
ZW-THERM-01,40,2,28,0.0486
ZW-THERM-01,40,2,29,0.0604
ZW-THERM-01,40,2,30,0.0561
ZW-THERM-01,40,3,0,0.0235
ZW-THERM-01,40,3,1,0.0155
ZW-THERM-01,40,3,2,0.0221
ZW-THERM-01,40,3,3,0.0254
ZW-THERM-01,40,3,4,0.0218
ZW-THERM-01,40,3,5,0.0250
ZW-THERM-01,40,3,6,0.0315
ZW-THERM-01,40,3,7,0.0221
ZW-THERM-01,40,3,8,0.0332
ZW-THERM-01,40,3,9,0.0301
ZW-THERM-01,40,3,10,0.0297
ZW-THERM-01,40,3,11,0.0299
ZW-THERM-01,40,3,12,0.0242
ZW-THERM-01,40,3,13,0.0399
ZW-THERM-01,40,3,14,0.0303
ZW-THERM-01,40,3,15,0.0358
ZW-THERM-01,40,3,16,0.0366
ZW-THERM-01,40,3,17,0.0316
ZW-THERM-01,40,3,18,0.0365
ZW-THERM-01,40,3,19,0.0345
ZW-THERM-01,40,3,20,0.0394
ZW-THERM-01,40,3,21,0.0417
ZW-THERM-01,40,3,22,0.0511
ZW-THERM-01,40,3,23,0.0401
ZW-THERM-01,40,3,24,0.0490
ZW-THERM-01,40,3,25,0.0538
ZW-THERM-01,40,3,26,0.0540
ZW-THERM-01,40,3,27,0.0467
ZW-THERM-01,40,3,28,0.0536
ZW-THERM-01,40,3,29,0.0530
ZW-THERM-01,40,3,30,0.0505
ZW-THERM-01,45,1,0,0.0180
ZW-THERM-01,45,1,1,0.0154
ZW-THERM-01,45,1,2,0.0274
ZW-THERM-01,45,1,3,0.0304
ZW-THERM-01,45,1,4,0.0230
ZW-THERM-01,45,1,5,0.0271
ZW-THERM-01,45,1,6,0.0494
ZW-THERM-01,45,1,7,0.0361
ZW-THERM-01,45,1,8,0.0508
ZW-THERM-01,45,1,9,0.0438
ZW-THERM-01,45,1,10,0.0522
ZW-THERM-01,45,1,11,0.0668
ZW-THERM-01,45,1,12,0.0718
ZW-THERM-01,45,1,13,0.0766
ZW-THERM-01,45,1,14,0.0860
ZW-THERM-01,45,1,15,0.0780
ZW-THERM-01,45,1,16,0.0869
ZW-THERM-01,45,1,17,0.0944
ZW-THERM-01,45,1,18,0.0983
ZW-THERM-01,45,1,19,0.1196
ZW-THERM-01,45,1,20,0.1235
ZW-THERM-01,45,1,21,0.1287
ZW-THERM-01,45,1,22,0.1328
ZW-THERM-01,45,1,23,0.1464
ZW-THERM-01,45,1,24,0.1397
ZW-THERM-01,45,1,25,0.1423
ZW-THERM-01,45,1,26,0.1509
ZW-THERM-01,45,1,27,0.1539
ZW-THERM-01,45,1,28,0.1456
ZW-THERM-01,45,1,29,0.1576
ZW-THERM-01,45,1,30,0.1830
ZW-THERM-01,45,2,0,0.0165
ZW-THERM-01,45,2,1,0.0230
ZW-THERM-01,45,2,2,0.0258
ZW-THERM-01,45,2,3,0.0312
ZW-THERM-01,45,2,4,0.0359
ZW-THERM-01,45,2,5,0.0302
ZW-THERM-01,45,2,6,0.0361
ZW-THERM-01,45,2,7,0.0441
ZW-THERM-01,45,2,8,0.0454
ZW-THERM-01,45,2,9,0.0540
ZW-THERM-01,45,2,10,0.0547
ZW-THERM-01,45,2,11,0.0575
ZW-THERM-01,45,2,12,0.0702
ZW-THERM-01,45,2,13,0.0718
ZW-THERM-01,45,2,14,0.0749
ZW-THERM-01,45,2,15,0.0898
ZW-THERM-01,45,2,16,0.0935
ZW-THERM-01,45,2,17,0.1002
ZW-THERM-01,45,2,18,0.1074
ZW-THERM-01,45,2,19,0.1165
ZW-THERM-01,45,2,20,0.1154
ZW-THERM-01,45,2,21,0.1211
ZW-THERM-01,45,2,22,0.1324
ZW-THERM-01,45,2,23,0.1455
ZW-THERM-01,45,2,24,0.1409
ZW-THERM-01,45,2,25,0.1406
ZW-THERM-01,45,2,26,0.1401
ZW-THERM-01,45,2,27,0.1463
ZW-THERM-01,45,2,28,0.1559
ZW-THERM-01,45,2,29,0.1729
ZW-THERM-01,45,2,30,0.1745
ZW-THERM-01,45,3,0,0.0266
ZW-THERM-01,45,3,1,0.0217
ZW-THERM-01,45,3,2,0.0283
ZW-THERM-01,45,3,3,0.0307
ZW-THERM-01,45,3,4,0.0282
